"#","Test Question","Agent Response","Test Answer","Test Replace","Action","Agent Answer Choice ID","Agent Answer Confidence",
"1","Which Faq are you using","Version 20171026","Version 20171026","","1.0","0","0.5",
"135","How can I provide feedback","I do not know.","You may take advantage of the feedback box on Piazza, as well as the surveys we will send out over the course of the semester.","","-0.5","86","0.3731196385097104",
"136","How many surveys will there be","There will be 4 surveys. 3 will be administered throughout the course, and the 4th will be administered by Georgia Tech via CIOS.","There will be 4 surveys. 3 will be administered throughout the course, and the 4th will be administered by Georgia Tech via CIOS.","","1.0","87","0.5883569583402944",
"137","How can I contact the Dean of Student's office","You may find information on contacting the Dean of Students with regard to personal emergencies here: https://studentlife.gatech.edu/content/class-attendance","You may find information on contacting the Dean of Students with regard to personal emergencies here: https://studentlife.gatech.edu/content/class-attendance","","1.0","88","0.7144656028126339",
"138","What if my conflict falls during the final","If your conflict falls during final exams, please let us know immediately and in advance so that we may work with you.","If your conflict falls during final exams, please let us know immediately and in advance so that we may work with you.","","1.0","89","0.7764539048947813",
"139","When are assignments due","I do not know.","All assignments are due at the end of the week, on Sunday at midnight UTC-12 (Anywhere On Earth time). This translates to an early-morning Monday deadline in the Americas, a midday Monday deadline in Europe, etc. If for example, Assignment 1 were due on January 22nd at midnight UTC-12, which translates to Monday, January 23rd at 7AM Eastern time, 4AM Pacific time. Precise due dates and times can be found in T-Square on each assignment page. Make sure to set T-Square to your local time zone to see due dates in your time","","-0.5","90","0.35762498371221",
"140","Where can I find the course calendar","https://docs.google.com/document/d/1YUnl-NbNycN3GfzK8BXO0qxW6wdKT1sKhO-p028Fl18/edit","https://docs.google.com/document/d/1YUnl-NbNycN3GfzK8BXO0qxW6wdKT1sKhO-p028Fl18/edit","","1.0","91","0.5817489957443748",
"141","Where is the course syllabus","I do not know.","https://docs.google.com/document/d/1YUnl-NbNycN3GfzK8BXO0qxW6wdKT1sKhO-p028Fl18/edit","","-0.5","91","0.1516411586263228",
"142","Where can I find assignment 1","https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc","https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc","","1.0","92","0.39337066437467094",
"143","Where is assignment 1's rubric","I do not know.","https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc","","-0.5","98","0.31404989893517715",
"144","Where can I find assignment 2","https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc","https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc","","1.0","93","0.3809410757629255",
"145","Where is assignment 2 defined","I do not know.","https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc","","-0.5","99","0.2948382848669375",
"146","Where can I find assignment 3","https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc","https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc","","1.0","94","0.39337066437467094",
"147","Where is assignment 3","I do not know.","https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc","","-0.5","100","0.31404989893517715",
"148","Where can I find project 1","https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc","https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc","","1.0","95","0.3988721995680838",
"149","Where is project 1's files","I do not know.","https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc","","-0.5","13","0.3529411764705882",
"150","Where can I find project 2","https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc","https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc","","1.0","96","0.38666930464860133",
"151","What is the location of project 2","I do not know.","https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc","","-0.5","13","0.3529411764705882",
"152","Where can I find project 3","https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc","https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc","","1.0","97","0.3988721995680838",
"153","Where are the files for project 3","Projects will be done individually.","https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc","","-0.5","13","0.3762780968399538",
"154","When is assignment 1 due","Week of August 28th","Week of August 28th","","1.0","98","0.4067178234228485",
"155","When is due date for assignment 1","Week of August 28th","Week of August 28th","","1.0","98","0.4067178234228485",
"156","When is assignment 2 due","Week of September 25th","Week of September 25th","","1.0","99","0.3924005176398113",
"157","Assignment 2 is due when","Week of September 25th","Week of September 25th","","1.0","99","0.3924005176398113",
"158","When is assignment 3 due","Week of October 30th","Week of October 30th","","1.0","100","0.4067178234228485",
"159","What is the date for assignment 3","I do not know.","Week of October 30th","","-0.5","100","0.31404989893517715",
"160","When is project 1 due","Week of September 4th","Week of September 4th","","1.0","101","0.41302242621799173",
"161","When does project 1 need to be completed","Absolutely! Students will give and receive peer feedback for completed assignments. We encourage a collaborative learning environment.","Week of September 4th","","-0.5","28","0.5",
"162","When is project 2 due","Week of October 9th","Week of October 9th","","1.0","102","0.39901138675344316",
"163","What is due date for project 2","I do not know.","Week of October 9th","","-0.5","102","0.36473631261112277",
"164","When is project 3 due","Week of November 6th","Week of November 6th","","1.0","103","0.4130224262179917",
"165","What is due date for project 3","Week of November 6th","Week of November 6th","","1.0","103","0.3803702685345073",
"166","When is the midterm","Week of October 2nd","Week of October 2nd","","1.0","104","0.548776842348234",
"167","What date is the midterm","Week of October 2nd","Week of October 2nd","","1.0","104","0.5161069549005263",
"168","When is the final","Week of November 27th","Week of November 27th","","1.0","105","0.42353703911782514",
"169","What date is the final","I do not know.","Week of November 27th","","-0.5","105","0.36912135235818255",
"170","Who is the professor for this class","Professor Goel","Professor Goel","","1.0","106","0.4996840714730079",
"171","Who is the instructor of this class","Post a private Piazza message visible only to the instructors","Professor Goel","","-0.5","74","0.5",
"172","Who teaches this class","Post a private Piazza message visible only to the instructors","Professor Goel","","-0.5","74","0.5",
"173","Who is the instructor","Post a private Piazza message visible only to the instructors","Professor Goel","","-0.5","74","0.5",
"174","Who is professor Goel","The professor for this class","The professor for this class","","1.0","107","0.6655630495076102",
"175","Does Professor Goel enjoy frogs","The professor for this class","I do not know.","","-0.5","107","0.6086956521739131",
"176","What is the assignment 1 due date","I do not know.","Week of August 28th","","-0.5","98","0.3733405364969868",
"177","Which week is assignment 2 due","I do not know.","Week of September 25th","","-0.5","99","0.3573452535868166",
"178","What is the date that assignment 3 is due","Absolutely! In fact, we encourage students to provide feedback on things that work, and things that could be done better.","Week of October 30th","","-0.5","85","0.5038114367301503",
"179","Who is the professor for KBAI","The primary learning goals are: First, this class teaches the concepts, methods, and prominent issues in knowledge-based artificial intelligence. Second, it teaches the specific skills and abilities needed to apply those concepts to the design of knowledge-based AI agents. Third, it teaches the relationship between knowledge-based artificial intelligence and the study of human cognition.","Professor Goel","","-0.5","14","0.5152801358234296",
"180","Who is doctor Goel","The professor for this class","The professor for this class","","1.0","107","0.5892455728270765",
"181","What are the components of this course","The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.","The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.","","1.0","1","0.4137806107380747",
"182","How many videos do I need to watch","Students are welcome and encouraged to proceed at their own pace throughout the lessons, including viewing them outside of the designed order to better align with their interests.","This course has 26 videos with about 18 hours of instruction.","","-0.5","27","0.5090425387763214",
"183","How many hours of instruction","This course has 26 videos with about 18 hours of instruction.","This course has 26 videos with about 18 hours of instruction.","","1.0","3","0.5793735176037454",
"184","Are there exercises","The videos have ~150 exercises and ~100 “tutors” embedded in them.","The videos have ~150 exercises and ~100 “tutors” embedded in them.","","1.0","4","0.5117632680497418",
"185","Is any release of Python 3.6 ok","I do not know.","I do not know.","yes","1.0","29","0.3714767415127596",
"186","Is wordnet allowed?","We encourage collaboration and the development of communities of practice surrounding the course material and projects. We are excited to see students borrow one another’s ideas and build on them, as well as spin off on their own study groups.","I do not know.","yes","-0.5","21","0.5117952381226705",
"187","Is numpy allowed","yes","I do not know.","yes","-0.5","109","0.38723864273750447",
"188","Could a T.A confirm if the usage of classifiers is allowed","I do not know.","I do not know.","yes, but you need to implement the code yourself.","1.0","89","0.3149779735682819",
"189","Can we use the nltk.corpus.stopwords corpus","No","I do not know.","Yes, you can use anything in download all.","-0.5","30","0.5094318111150267",
"190","Is it allowed to use similarity algorithms found open source if sited appropriately","Yes, you can use anything in download all.","I do not know.","As long as you implement the algorithm yourself.","-0.5","112","0.391304347826087",
"191","Are the projects still based on RPM's","This class has three projects, each of which build on the previous one, and the overall goals and motivations of KBAI are presented through these projects.","I do not know.","no, the projects are now based on chatbots.","-0.5","20","0.5242718446601943",
"192","Is any release of Python 3.6 ok","yes","yes","","1.0","108","0.7778059926898738",
"193","Is wordnet allowed?","yes","yes","","1.0","109","0.5757380170091455",
"194","Is numpy allowed","yes","yes","","1.0","110","0.5757380170091455",
"195","Could a T.A confirm if the usage of classifiers is allowed","yes, but you need to implement the code yourself.","yes, but you need to implement the code yourself.","","1.0","111","0.8435773146993781",
"196","Can we use the nltk.corpus.stopwords corpus","Yes, you can use anything in download all.","Yes, you can use anything in download all.","","1.0","112","0.7458113015955676",
"197","Is it allowed to use similarity algorithms found open source if sited appropriately","As long as you implement the algorithm yourself.","As long as you implement the algorithm yourself.","","1.0","113","0.8944800879964689",
"198","Are the projects still based on RPM's","no, the projects are now based on chatbots.","no, the projects are now based on chatbots.","","1.0","114","0.7579664740228923",
"199","Are the projects still based on RPM's","no, the projects are now based on chatbots.","no, the projects are now based on chatbots.","actually, now the goal is to build skynet.","1.0","114","0.7579664740228923",
"200","Are the projects still based on RPM's","I do not know.","actually, now the goal is to build skynet.","","-0.5","114","0.6445795334873853",
"Totals","Total Questions: 200","Total Wrong: 49","Total Correct: 151","","Score: 126.5",
