#,Test Question,Agent Response,Test Answer,Test Replace,Action,Agent Answer Choice ID,Agent Answer Score,Confidence,Confidence,Confidence,,
118,Will office hours be recorded and posted,"No, but if there is anything relevant to the whole class it will be recorded and posted on Piazza","No, but if there is anything relevant to the whole class it will be recorded and posted on Piazza",,1,73,2.402788859,0.835115895,0.706123406,0.923235362,,
119,How should you reach out to instructors about private issues like grades,Post a private Piazza message visible only to the instructors,Post a private Piazza message visible only to the instructors,,1,74,6.881841762,0.941275234,0.8731261,0.989606813,,
120,How will I be able to participate in office hours,Via the Webex link available on Piazza,Via the Webex link available on Piazza,,1,75,1.918953141,0.796072737,0.657411424,0.88681083,,
121,How can I join office hours,I do not know.,Via the Webex link available on Piazza,,-0.5,76,0.391365076,0.350903579,0.281281371,0.364448391,,
122,How do I join office hours,I do not know.,Via the Webex link available on Piazza,,-0.5,76,0.391365076,0.350903579,0.281281371,0.364448391,,
123,How can I participate in office hours,Via the Webex link available on Piazza,Via the Webex link available on Piazza,,1,75,0.7677927,0.559288645,0.434322814,0.608993901,,
124,How can I attend office hours,I do not know.,Via the Webex link available on Piazza,,-0.5,76,0.391365076,0.350903579,0.281281371,0.364448391,,
125,What is the purpose of office hours,"Synchronous office hours are intended for conversations about individual projects, discussions about course material, etc. rather than straightforward question and answer.","Synchronous office hours are intended for conversations about individual projects, discussions about course material, etc. rather than straightforward question and answer.",,1,76,1.55855777,0.753128826,0.609154809,0.841652238,,
126,Where will exemplary assignments be posted,"Exemplary assignments, once available, will be posted on piazza for everyone to see.","Exemplary assignments, once available, will be posted on piazza for everyone to see.",,1,77,1.455091306,0.737444996,0.592683173,0.824141138,,
127,What is the point of posting exemplary assignments,"From previous semesters, we have found that posting exemplary assignments allow for greater peer-to-peer learning and fosters a community of learners.","From previous semesters, we have found that posting exemplary assignments allow for greater peer-to-peer learning and fosters a community of learners.",,1,78,2.719023459,0.85358223,0.73111221,0.938538411,,
128,Is late work accepted,"Due to the size of the class and limited resources, late work will not be accepted.","Due to the size of the class and limited resources, late work will not be accepted.",,1,79,2.36860407,0.832843374,0.703141129,0.921260331,,
129,What should I do if I am having issues submitting my work,"If you are having issue submitting on T-square, immediately post a private note on Piazza with your submission.","If you are having issue submitting on T-square, immediately post a private note on Piazza with your submission.",,1,80,3.604758985,0.888717017,0.782833368,0.963608982,,
130,What if I have an emergency and cannot submit my work on time,"If you have an emergency and cannot submit your work by the deadline, we ask that you go through the Dean of Student's office","If you have an emergency and cannot submit your work by the deadline, we ask that you go through the Dean of Student's office",,1,81,4.305889516,0.906553617,0.811530188,0.974076342,,
131,What kind of issues can I bring up to the Dean of Student's office,"Justifiable excuses would involve any major unforeseen disruption to your classwork such as illness, injuries, death, and birth, all for either you or your family","Justifiable excuses would involve any major unforeseen disruption to your classwork such as illness, injuries, death, and birth, all for either you or your family",,1,82,3.77933762,0.893760366,0.790765985,0.96673135,,
132,What kind of conflict am I liable for,"Conflicts such as weddings, business trips, and conference, you should complete your work in advance. That is why all of the assignments and project resources are provided to you at the start of the semester.","Conflicts such as weddings, business trips, and conference, you should complete your work in advance. That is why all of the assignments and project resources are provided to you at the start of the semester.",,1,83,2.828837546,0.85907872,0.738824124,0.942824239,,
133,Is this course the same as the previous semesters,No. every semester is a learning experience. Each subsequent semesters benefit from the lessons learned the previous semesters.,No. every semester is a learning experience. Each subsequent semesters benefit from the lessons learned the previous semesters.,,1,84,4.123982356,0.902494572,0.804839297,0.971836793,,
134,Can I provide the teaching staff feedback on how I think that the course is going,"Absolutely! In fact, we encourage students to provide feedback on things that work, and things that could be done better.","Absolutely! In fact, we encourage students to provide feedback on things that work, and things that could be done better.",,1,85,5.402801842,0.925330499,0.843818374,0.983298908,,
135,How can I provide feedback,I do not know.,"You may take advantage of the feedback box on Piazza, as well as the surveys we will send out over the course of the semester.",,-0.5,86,0.595200714,0.47860219,0.373119639,0.511460141,,
136,How many surveys will there be,"There will be 4 surveys. 3 will be administered throughout the course, and the 4th will be administered by Georgia Tech via CIOS.","There will be 4 surveys. 3 will be administered throughout the course, and the 4th will be administered by Georgia Tech via CIOS.",,1,87,1.429289211,0.733236983,0.588356958,0.819367217,,
137,How can I contact the Dean of Student's office,You may find information on contacting the Dean of Students with regard to personal emergencies here: https://studentlife.gatech.edu/content/class-attendance,You may find information on contacting the Dean of Students with regard to personal emergencies here: https://studentlife.gatech.edu/content/class-attendance,,1,88,2.502205023,0.841394072,0.714465603,0.928589517,,
138,What if my conflict falls during the final,"If your conflict falls during final exams, please let us know immediately and in advance so that we may work with you.","If your conflict falls during final exams, please let us know immediately and in advance so that we may work with you.",,1,89,3.473350338,0.884596818,0.776453905,0.960965514,,
139,When are assignments due,I do not know.,"All assignments are due at the end of the week, on Sunday at midnight UTC-12 (Anywhere On Earth time). This translates to an early-morning Monday deadline in the Americas, a midday Monday deadline in Europe, etc. If for example, Assignment 1 were due on January 22nd at midnight UTC-12, which translates to Monday, January 23rd at 7AM Eastern time, 4AM Pacific time. Precise due dates and times can be found in T-Square on each assignment page. Make sure to set T-Square to your local time zone to see due dates in your time",,-0.5,90,0.556723058,0.457440536,0.357624984,0.486422229,,
140,Where can I find the course calendar,https://docs.google.com/document/d/1YUnl-NbNycN3GfzK8BXO0qxW6wdKT1sKhO-p028Fl18/edit,https://docs.google.com/document/d/1YUnl-NbNycN3GfzK8BXO0qxW6wdKT1sKhO-p028Fl18/edit,,1,91,1.390908784,0.726737802,0.581748996,0.811936709,,
141,Where is the course syllabus,I do not know.,https://docs.google.com/document/d/1YUnl-NbNycN3GfzK8BXO0qxW6wdKT1sKhO-p028Fl18/edit,,-0.5,91,0.178746482,0.174259755,0.151641159,0.175957633,,
142,Where can I find assignment 1,https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,,1,92,0.648453085,0.505862009,0.393370664,0.544075608,,
143,Where is assignment 1's rubric,I do not know.,https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,,-0.5,98,0.457831989,0.396913425,0.314049899,0.416277968,,
144,Where can I find assignment 2,https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,,1,93,0.615355115,0.489188122,0.380941076,0.524079202,,
145,Where is assignment 2 defined,I do not know.,https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,,-0.5,99,0.418114425,0.369953471,0.294838285,0.385753207,,
146,Where can I find assignment 3,https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,,1,94,0.648453085,0.505862009,0.393370664,0.544075608,,
147,Where is assignment 3,I do not know.,https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,,-0.5,100,0.457831989,0.396913425,0.314049899,0.416277968,,
148,Where can I find project 1,https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,,1,95,0.663539765,0.513179422,0.3988722,0.55289509,,
149,Where is project 1's files,I do not know.,https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,,-0.5,13,0.545454545,0.450998913,0.352941176,0.478852131,,
150,Where can I find project 2,https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,,1,96,0.630441795,0.496895975,0.386669305,0.533305168,,
151,What is the location of project 2,I do not know.,https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,,-0.5,13,0.545454545,0.450998913,0.352941176,0.478852131,,
152,Where can I find project 3,https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,,1,97,0.663539765,0.513179422,0.3988722,0.55289509,,
153,Where are the files for project 3,Projects will be done individually.,https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,,-0.5,13,0.603278633,0.482885279,0.376278097,0.516558482,,
154,When is assignment 1 due,Week of August 28th,Week of August 28th,,1,98,0.685538584,0.523543688,0.406717823,0.565429782,,
155,When is due date for assignment 1,Week of August 28th,Week of August 28th,,1,98,0.685538584,0.523543688,0.406717823,0.565429782,,
156,When is assignment 2 due,Week of September 25th,Week of September 25th,,1,99,0.64582102,0.504567537,0.392400518,0.542518132,,
157,Assignment 2 is due when,Week of September 25th,Week of September 25th,,1,99,0.64582102,0.504567537,0.392400518,0.542518132,,
158,When is assignment 3 due,Week of October 30th,Week of October 30th,,1,100,0.685538584,0.523543688,0.406717823,0.565429782,,
159,What is the date for assignment 3,I do not know.,Week of October 30th,,-0.5,100,0.457831989,0.396913425,0.314049899,0.416277968,,
160,When is project 1 due,Week of September 4th,Week of September 4th,,1,101,0.7036426,0.531809103,0.413022426,0.575459984,,
161,When does project 1 need to be completed,Absolutely! Students will give and receive peer feedback for completed assignments. We encourage a collaborative learning environment.,Week of September 4th,,-0.5,28,1,0.639092927,0.5,0.707106781,,
162,When is project 2 due,Week of October 9th,Week of October 9th,,1,102,0.663925036,0.513364028,0.399011387,0.553117922,,
163,What is due date for project 2,I do not know.,Week of October 9th,,-0.5,102,0.574149475,0.467182357,0.364736313,0.497916699,,
164,When is project 3 due,Week of November 6th,Week of November 6th,,1,103,0.7036426,0.531809103,0.413022426,0.575459984,,
165,What is due date for project 3,Week of November 6th,Week of November 6th,,1,103,0.613867039,0.488417917,0.380370269,0.523159026,,
166,When is the midterm,Week of October 2nd,Week of October 2nd,,1,104,1.216198311,0.693001809,0.548776842,0.772420899,,
167,What date is the midterm,Week of October 2nd,Week of October 2nd,,1,104,1.066572376,0.657418968,0.516106955,0.729507036,,
168,When is the final,Week of November 27th,Week of November 27th,,1,105,0.73471683,0.545462456,0.423537039,0.592088446,,
169,What date is the final,I do not know.,Week of November 27th,,-0.5,105,0.585090895,0.473164783,0.369121352,0.505002435,,
170,Who is the professor for this class,Professor Goel,Professor Goel,,1,106,0.998737084,0.638728374,0.499684071,0.70665985,,
171,Who is the instructor of this class,Post a private Piazza message visible only to the instructors,Professor Goel,,-0.5,74,1,0.639092927,0.5,0.707106781,,
172,Who teaches this class,Post a private Piazza message visible only to the instructors,Professor Goel,,-0.5,74,1,0.639092927,0.5,0.707106781,,
173,Who is the instructor,Post a private Piazza message visible only to the instructors,Professor Goel,,-0.5,74,1,0.639092927,0.5,0.707106781,,
174,Who is professor Goel,The professor for this class,The professor for this class,,1,107,1.990100222,0.802898588,0.66556305,0.893536442,,
175,Does Professor Goel enjoy frogs,The professor for this class,I do not know.,,-0.5,107,1.555555556,0.752698834,0.608695652,0.841178475,,
176,What is the assignment 1 due date,I do not know.,Week of August 28th,,-0.5,98,0.595763023,0.478902098,0.373340536,0.511816805,,
177,Which week is assignment 2 due,I do not know.,Week of September 25th,,-0.5,99,0.556045459,0.45705637,0.357345254,0.485970079,,
178,What is the date that assignment 3 is due,"Absolutely! In fact, we encourage students to provide feedback on things that work, and things that could be done better.",Week of October 30th,,-0.5,85,1.015362856,0.643475599,0.503811437,0.712476267,,
179,Who is the professor for KBAI,"The primary learning goals are: First, this class teaches the concepts, methods, and prominent issues in knowledge-based artificial intelligence. Second, it teaches the specific skills and abilities needed to apply those concepts to the design of knowledge-based AI agents. Third, it teaches the relationship between knowledge-based artificial intelligence and the study of human cognition.",Professor Goel,,-0.5,14,1.063047285,0.656490723,0.515280136,0.72837611,,
180,Who is doctor Goel,The professor for this class,The professor for this class,,1,107,1.434544667,0.734104347,0.589245573,0.820353677,,
181,What are the components of this course,"The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.","The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.",,1,1,0.705845999,0.532799186,0.413780611,0.576663374,,
182,How many videos do I need to watch,"Students are welcome and encouraged to proceed at their own pace throughout the lessons, including viewing them outside of the designed order to better align with their interests.",This course has 26 videos with about 18 hours of instruction.,,-0.5,27,1.036836343,0.649444271,0.509042539,0.719777163,,
183,How many hours of instruction,This course has 26 videos with about 18 hours of instruction.,This course has 26 videos with about 18 hours of instruction.,,1,3,1.377406183,0.72438017,0.579373518,0.809224844,,
184,Are there exercises,The videos have ~150 exercises and ~100 “tutors” embedded in them.,The videos have ~150 exercises and ~100 “tutors” embedded in them.,,1,4,1.048186739,0.652527281,0.511763268,0.723542343,,
185,Is any release of Python 3.6 ok,I do not know.,I do not know.,yes,1,29,0.591031018,0.476370013,0.371476742,0.508807109,,
186,Is wordnet allowed?,"We encourage collaboration and the development of communities of practice surrounding the course material and projects. We are excited to see students borrow one another’s ideas and build on them, as well as spin off on their own study groups.",I do not know.,yes,-0.5,21,1.048320865,0.652563421,0.511795238,0.723586453,,
187,Is numpy allowed,yes,I do not know.,yes,-0.5,109,0.631956696,0.497659902,0.387238643,0.534221244,,
188,Could a T.A confirm if the usage of classifiers is allowed,I do not know.,I do not know.,"yes, but you need to implement the code yourself.",1,89,0.459807074,0.398213314,0.314977974,0.417760931,,
189,Can we use the nltk.corpus.stopwords corpus,No,I do not know.,"Yes, you can use anything in download all.",-0.5,30,1.0384526,0.649886274,0.509431811,0.72031723,,
190,Is it allowed to use similarity algorithms found open source if sited appropriately,"Yes, you can use anything in download all.",I do not know.,As long as you implement the algorithm yourself.,-0.5,112,0.642857143,0.503103457,0.391304348,0.540757591,,
191,Are the projects still based on RPM's,"This class has three projects, each of which build on the previous one, and the overall goals and motivations of KBAI are presented through these projects.",I do not know.,"no, the projects are now based on chatbots.",-0.5,20,1.102040816,0.666512358,0.524271845,0.740560305,,
192,Is any release of Python 3.6 ok,yes,yes,,1,108,3.500571425,0.885474905,0.777805993,0.961535793,,
193,Is wordnet allowed?,yes,yes,,1,109,1.357034191,0.720750155,0.575738017,0.805033153,,
194,Is numpy allowed,yes,yes,,1,110,1.357034191,0.720750155,0.575738017,0.805033153,,
195,Could a T.A confirm if the usage of classifiers is allowed,"yes, but you need to implement the code yourself.","yes, but you need to implement the code yourself.",,1,111,5.392934619,0.925195133,0.843577315,0.983239267,,
196,Can we use the nltk.corpus.stopwords corpus,"Yes, you can use anything in download all.","Yes, you can use anything in download all.",,1,112,2.934085214,0.863978524,0.745811302,0.94653544,,
197,Is it allowed to use similarity algorithms found open source if sited appropriately,As long as you implement the algorithm yourself.,As long as you implement the algorithm yourself.,,1,113,8.476884325,0.952279005,0.894480088,0.993113584,,
198,Are the projects still based on RPM's,"no, the projects are now based on chatbots.","no, the projects are now based on chatbots.",,1,114,3.131659017,0.872324407,0.757966474,0.952612119,,
199,Are the projects still based on RPM's,"no, the projects are now based on chatbots.","no, the projects are now based on chatbots.","actually, now the goal is to build skynet.",1,114,3.131659017,0.872324407,0.757966474,0.952612119,,
200,Are the projects still based on RPM's,I do not know.,"actually, now the goal is to build skynet.",,-0.5,114,1.813568982,0.785081353,0.644579533,0.875698112,,
Totals,Total Questions: 200,Total Wrong: 49,Total Correct: 151,,Score: 126.5,,,,,,,
