#,Test Question,Agent Response,Test Answer,Test Replace,Action,Agent Answer Choice ID,Agent Answer Confidence
1,Which Faq are you using,I do not know.,Version 20171026,,-0.5,67,0.35
144,Where can I find assignment 2,https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,,1,93,1
145,Where is assignment 2 defined,Week of September 25th,https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,,-0.5,99,0.6
146,Where can I find assignment 3,https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,,1,94,1
147,Where is assignment 3,Week of October 30th,https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,,-0.5,100,0.666666667
148,Where can I find project 1,https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,,1,95,1
149,Where is project 1's files,Week of September 4th,https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,,-0.5,101,0.6
150,Where can I find project 2,https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,,1,96,1
151,What is the location of project 2,"The structure of this course is driven by several pedagogical motivations: learning by example, learning by doing, project-based learning, personalization, collaborative learning, peer-to-peer learning, self-reflection and authenticity.",https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,,-0.5,15,0.618181818
152,Where can I find project 3,https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,,1,97,1
153,Where are the files for project 3,https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,https://drive.google.com/drive/folders/0ByL9Kt_U_JJuQmZxSEtnWENiUXc,,1,97,0.5
154,When is assignment 1 due,Week of August 28th,Week of August 28th,,1,98,1
155,When is due date for assignment 1,Week of August 28th,Week of August 28th,,1,98,0.833333333
156,When is assignment 2 due,Week of September 25th,Week of September 25th,,1,99,1
157,Assignment 2 is due when,Week of September 25th,Week of September 25th,,1,99,1
158,When is assignment 3 due,Week of October 30th,Week of October 30th,,1,100,1
159,What is the date for assignment 3,"Each assignment should be approximately 1,000 words (neither a minimum nor a maximum, just a heuristic)",Week of October 30th,,-0.5,56,0.666666667
160,When is project 1 due,Week of September 4th,Week of September 4th,,1,101,1
161,When does project 1 need to be completed,I do not know.,Week of September 4th,,-0.5,101,0.461538462
162,When is project 2 due,Week of October 9th,Week of October 9th,,1,102,1
163,What is due date for project 2,Week of October 9th,Week of October 9th,,1,102,0.666666667
164,When is project 3 due,Week of November 6th,Week of November 6th,,1,103,1
165,What is due date for project 3,Week of November 6th,Week of November 6th,,1,103,0.666666667
166,When is the midterm,Week of October 2nd,Week of October 2nd,,1,104,1
167,What date is the midterm,Week of October 2nd,Week of October 2nd,,1,104,0.571428571
168,When is the final,Week of November 27th,Week of November 27th,,1,105,1
169,What date is the final,Week of November 27th,Week of November 27th,,1,105,0.571428571
170,Who is the professor for this class,Professor Goel,Professor Goel,,1,106,1
171,Who is the instructor of this class,Professor Goel,Professor Goel,,1,106,0.68
172,Who teaches this class,Professor Goel,Professor Goel,,1,106,0.5
173,Who is the instructor,The professor for this class,Professor Goel,,-0.5,107,0.685714286
174,Who is professor Goel,The professor for this class,The professor for this class,,1,107,1
175,Does Professor Goel enjoy frogs,I do not know.,I do not know.,,1,107,0.444444444
176,What is the assignment 1 due date,Week of August 28th,Week of August 28th,,1,98,0.727272727
177,Which week is assignment 2 due,Week of September 25th,Week of September 25th,,1,99,0.727272727
178,What is the date that assignment 3 is due,Week of October 30th,Week of October 30th,,1,100,0.666666667
179,Who is the professor for KBAI,Professor Goel,Professor Goel,,1,106,0.8
180,Who is doctor Goel,The professor for this class,The professor for this class,,1,107,0.75
181,What are the components of this course,"The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.","The course has five components. Video Lessons, Exercises and Readings; Design, Programming and Reflection projects; Assignments and Examinations; Peer Feedback; and Announcements, Question Answering and Discussions.",,1,1,0.888888889
182,How many videos do I need to watch,The projects do not require any specialized knowledge of computer vision or image processing.,This course has 26 videos with about 18 hours of instruction.,,-0.5,12,0.586666667
183,How many hours of instruction,This course has 26 videos with about 18 hours of instruction.,This course has 26 videos with about 18 hours of instruction.,,1,3,0.833333333
184,Are there exercises,"Most lessons have an accompanying set of readings. While video lessons introduce the basic concepts and methods, the readings provide the detailed algorithms. The projects are accompanied with a reading list.",The videos have ~150 exercises and ~100 “tutors” embedded in them.,,-0.5,5,0.571428571
185,Is any release of Python 3.6 ok,I do not know.,I do not know.,yes,1,15,0.436363636
186,Is wordnet allowed?,"We encourage collaboration and the development of communities of practice surrounding the course material and projects. We are excited to see students borrow one another’s ideas and build on them, as well as spin off on their own study groups.",I do not know.,yes,-0.5,21,0.571428571
187,Is numpy allowed,yes,I do not know.,yes,-0.5,109,0.666666667
188,Could a T.A confirm if the usage of classifiers is allowed,I do not know.,I do not know.,"yes, but you need to implement the code yourself.",1,15,0.342857143
189,Can we use the nltk.corpus.stopwords corpus,I do not know.,I do not know.,"Yes, you can use anything in download all.",1,45,0.333333333
190,Is it allowed to use similarity algorithms found open source if sited appropriately,I do not know.,I do not know.,As long as you implement the algorithm yourself.,1,111,0.309090909
191,Are the projects still based on RPM's,I do not know.,I do not know.,"no, the projects are now based on chatbots.",1,13,0.363636364
192,Is any release of Python 3.6 ok,yes,yes,,1,108,1
193,Is wordnet allowed?,yes,yes,,1,109,1
194,Is numpy allowed,yes,yes,,1,110,1
195,Could a T.A confirm if the usage of classifiers is allowed,"yes, but you need to implement the code yourself.","yes, but you need to implement the code yourself.",,1,111,1
196,Can we use the nltk.corpus.stopwords corpus,"Yes, you can use anything in download all.","Yes, you can use anything in download all.",,1,112,1
197,Is it allowed to use similarity algorithms found open source if sited appropriately,As long as you implement the algorithm yourself.,As long as you implement the algorithm yourself.,,1,113,1
198,Are the projects still based on RPM's,"no, the projects are now based on chatbots.","no, the projects are now based on chatbots.",,1,114,1
199,Are the projects still based on RPM's,"no, the projects are now based on chatbots.","no, the projects are now based on chatbots.","actually, now the goal is to build skynet.",1,114,1
200,Are the projects still based on RPM's,I do not know.,"actually, now the goal is to build skynet.",,-0.5,114,1
Totals,Total Questions: 200,Total Wrong: 43,Total Correct: 157,,Score: 135.5,,
